"ANYSCEN","ALLYEAR","ANYREGION","ITEM","Value","VARIABLE","UNIT"
"base",2050,"PRT","CRP",0.16356102,"AREA","1000 ha"
"base",2050,"PRT","GRS",0.487985189,"AREA","1000 ha"
"base",2050,"PRT","TOT",0.651546209,"AREA","1000 ha"
"base",2050,"ROU","CRP",4.33878025,"AREA","1000 ha"
"base",2050,"ROU","GRS",1.94761595,"AREA","1000 ha"
"base",2050,"ROU","TOT",6.2863962,"AREA","1000 ha"
"base",2050,"SVK","CRP",2.3992488,"AREA","1000 ha"
"base",2050,"SVK","GRS",0.3542234,"AREA","1000 ha"
"base",2050,"SVK","TOT",2.7534722,"AREA","1000 ha"
"base",2050,"SVN","CRP",0.2730497,"AREA","1000 ha"
"base",2050,"SVN","GRS",0.0118666,"AREA","1000 ha"
"base",2050,"SVN","TOT",0.2849163,"AREA","1000 ha"
"base",2050,"ESP","CRP",2.471823204,"AREA","1000 ha"
"base",2050,"ESP","GRS",1.57573483,"AREA","1000 ha"
"base",2050,"ESP","TOT",4.047558034,"AREA","1000 ha"
"base",2050,"SWE","CRP",0.968070122,"AREA","1000 ha"
"base",2050,"SWE","GRS",1.457661079,"AREA","1000 ha"
"base",2050,"SWE","TOT",2.425731201,"AREA","1000 ha"
"easwf",2030,"AUT","CRP",3.628588624,"AREA","1000 ha"
"easwf",2030,"AUT","GRS",0.536189467,"AREA","1000 ha"
"easwf",2030,"AUT","TOT",4.164778091,"AREA","1000 ha"
"easwf",2030,"BGR","CRP",48.00432282,"AREA","1000 ha"
"easwf",2030,"BGR","GRS",1.419794123,"AREA","1000 ha"
"easwf",2030,"BGR","TOT",49.42411694,"AREA","1000 ha"
"easwf",2030,"HRV","CRP",13.85956493,"AREA","1000 ha"
"easwf",2030,"HRV","GRS",0.571676475,"AREA","1000 ha"
"easwf",2030,"HRV","TOT",14.4312414,"AREA","1000 ha"
"easwf",2030,"CYP","CRP",0.007224393,"AREA","1000 ha"
"easwf",2030,"CYP","GRS",0.027437655,"AREA","1000 ha"
"easwf",2030,"CYP","TOT",0.034662048,"AREA","1000 ha"
"easwf",2030,"CZE","CRP",27.39087999,"AREA","1000 ha"
"easwf",2030,"CZE","GRS",1.123872405,"AREA","1000 ha"
"easwf",2030,"CZE","TOT",28.51475239,"AREA","1000 ha"
"easwf",2030,"DNK","CRP",13.23621479,"AREA","1000 ha"
"easwf",2030,"DNK","GRS",0.485781136,"AREA","1000 ha"
"easwf",2030,"DNK","TOT",13.72199593,"AREA","1000 ha"
"easwf",2030,"EST","CRP",1.057333045,"AREA","1000 ha"
"easwf",2030,"EST","GRS",0.50316574,"AREA","1000 ha"
"easwf",2030,"EST","TOT",1.560498784,"AREA","1000 ha"
"easwf",2030,"FIN","CRP",0.120845097,"AREA","1000 ha"
"easwf",2030,"FIN","GRS",0.402222372,"AREA","1000 ha"
"easwf",2030,"FIN","TOT",0.523067469,"AREA","1000 ha"
