"ANYREGION","ITEM_AG","Year","Scen","value"
"ESP","CRP",2030,"FP_SOC",0.996054872408792
"ESP","CRP",2030,"EA_SOC",0.982301316083462
"ESP","CRP",2030,"FP_PTL",1.00010471632962
"ESP","CRP",2030,"EA_PTL",0.999806518741849
"ESP","CRP",2040,"FP_SOC",0.987769933016994
"ESP","CRP",2040,"EA_SOC",0.977858034774378
"ESP","CRP",2040,"FP_PTL",1.00000858572358
"ESP","CRP",2040,"EA_PTL",0.999869384595359
"ESP","CRP",2050,"FP_SOC",1.00519865041416
"ESP","CRP",2050,"EA_SOC",1.00534576339711
"ESP","CRP",2050,"FP_PTL",0.999939786648748
"ESP","CRP",2050,"EA_PTL",1.00002975346465
"EST","GRS",2000,"FP_SOC",1
"EST","GRS",2000,"EA_SOC",1
"EST","GRS",2000,"FP_PTL",1
"EST","GRS",2000,"EA_PTL",1
"EST","GRS",2010,"FP_SOC",1
"EST","GRS",2010,"EA_SOC",1
"EST","GRS",2010,"FP_PTL",1
"EST","GRS",2010,"EA_PTL",1
"EST","GRS",2020,"FP_SOC",1
"EST","GRS",2020,"EA_SOC",1
"EST","GRS",2020,"FP_PTL",1
"EST","GRS",2020,"EA_PTL",1
"EST","GRS",2030,"FP_SOC",1
"EST","GRS",2030,"EA_SOC",1
"EST","GRS",2030,"FP_PTL",1
"EST","GRS",2030,"EA_PTL",1
"EST","GRS",2040,"FP_SOC",1.00003982069647
"EST","GRS",2040,"EA_SOC",1.00012291036041
"EST","GRS",2040,"FP_PTL",1.00003282407932
"EST","GRS",2040,"EA_PTL",0.999896919693444
"EST","GRS",2050,"FP_SOC",0.999719095940805
"EST","GRS",2050,"EA_SOC",1.00202875329187
"EST","GRS",2050,"FP_PTL",1.0000946341631
"EST","GRS",2050,"EA_PTL",0.999810214975942
"EST","CRP",2000,"FP_SOC",1
"EST","CRP",2000,"EA_SOC",1
"EST","CRP",2000,"FP_PTL",1
"EST","CRP",2000,"EA_PTL",1
"EST","CRP",2010,"FP_SOC",1
"EST","CRP",2010,"EA_SOC",1
"EST","CRP",2010,"FP_PTL",1
"EST","CRP",2010,"EA_PTL",1
"EST","CRP",2020,"FP_SOC",1
"EST","CRP",2020,"EA_SOC",1
"EST","CRP",2020,"FP_PTL",1
"EST","CRP",2020,"EA_PTL",1
"EST","CRP",2030,"FP_SOC",1.00040346828253
"EST","CRP",2030,"EA_SOC",1.01804636448416
"EST","CRP",2030,"FP_PTL",0.99952499835493
"EST","CRP",2030,"EA_PTL",1.00036846965624
"EST","CRP",2040,"FP_SOC",0.997399813889036
"EST","CRP",2040,"EA_SOC",0.999143434128
"EST","CRP",2040,"FP_PTL",1.00005909570968
"EST","CRP",2040,"EA_PTL",0.999438264799419
