"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","BASE","GBR","FOR","AREA",2020,"1000 ha",2790.4
"GLOBIOM","BASE","GBR","FOR","AREA",2030,"1000 ha",2790.4
"GLOBIOM","BASE","GBR","FOR","AREA",2040,"1000 ha",2790.4
"GLOBIOM","BASE","GBR","FOR","AREA",2050,"1000 ha",2790.4
"GLOBIOM","BASE","NOR","FOR","AREA",2000,"1000 ha",9301.033
"GLOBIOM","BASE","NOR","FOR","AREA",2010,"1000 ha",9301.033
"GLOBIOM","BASE","NOR","FOR","AREA",2020,"1000 ha",9301.033
"GLOBIOM","BASE","NOR","FOR","AREA",2030,"1000 ha",9301.033
"GLOBIOM","BASE","NOR","FOR","AREA",2040,"1000 ha",9301.033
"GLOBIOM","BASE","NOR","FOR","AREA",2050,"1000 ha",9301.033
"GLOBIOM","BASE","OAM","FOR","AREA",2000,"1000 ha",973842.61
"GLOBIOM","BASE","OAM","FOR","AREA",2010,"1000 ha",964443.075727587
"GLOBIOM","BASE","OAM","FOR","AREA",2020,"1000 ha",954467.201241143
"GLOBIOM","BASE","OAM","FOR","AREA",2030,"1000 ha",943116.832695846
"GLOBIOM","BASE","OAM","FOR","AREA",2040,"1000 ha",931704.758093402
"GLOBIOM","BASE","OAM","FOR","AREA",2050,"1000 ha",919349.96141511
"GLOBIOM","BASE","AME","FOR","AREA",2000,"1000 ha",810728.406
"GLOBIOM","BASE","AME","FOR","AREA",2010,"1000 ha",800062.882334297
"GLOBIOM","BASE","AME","FOR","AREA",2020,"1000 ha",788815.269859083
"GLOBIOM","BASE","AME","FOR","AREA",2030,"1000 ha",772610.931419225
"GLOBIOM","BASE","AME","FOR","AREA",2040,"1000 ha",756139.911770267
"GLOBIOM","BASE","AME","FOR","AREA",2050,"1000 ha",741605.313322902
"GLOBIOM","Base_EAFRS","WLD","FOR","AREA",2000,"1000 ha",4298877.892
"GLOBIOM","Base_EAFRS","WLD","FOR","AREA",2010,"1000 ha",4275985.13411352
"GLOBIOM","Base_EAFRS","WLD","FOR","AREA",2020,"1000 ha",4250732.50591213
"GLOBIOM","Base_EAFRS","WLD","FOR","AREA",2030,"1000 ha",4217034.83797897
"GLOBIOM","Base_EAFRS","WLD","FOR","AREA",2040,"1000 ha",4182553.45594249
"GLOBIOM","Base_EAFRS","WLD","FOR","AREA",2050,"1000 ha",4148710.03436762
"GLOBIOM","Base_EAFRS","ANZ","FOR","AREA",2000,"1000 ha",172903.834
"GLOBIOM","Base_EAFRS","ANZ","FOR","AREA",2010,"1000 ha",172903.834
